model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
Mask R-CNN,0,25.27,2433.94,1.61,2460.83,0.41,18,0.6596,0,18,0,0,18,0,start
Mask R-CNN,1,0.85,2446.59,2.14,2449.58,0.41,16,0.645,0,16,0,0,19,0,start
Mask R-CNN,2,0.81,2524.57,2.49,2527.87,0.4,25,0.6183,0,13,0,0,19,0,start
Mask R-CNN,3,0.79,2418.07,2.15,2421.01,0.41,19,0.5849,0,14,0,0,19,0,start
Mask R-CNN,4,1.36,2379.94,2.68,2383.98,0.42,21,0.5818,0,14,0,0,19,0,start
Mask R-CNN,5,0.79,2194.78,2.33,2197.89,0.45,17,0.5878,0,16,0,0,21,0,start
Mask R-CNN,6,7.45,2355.63,1.93,2365.01,0.42,14,0.6997,0,11,0,0,21,0,start
Mask R-CNN,7,0.73,2341.12,2.26,2344.11,0.43,13,0.7173,0,11,0,0,22,0,start
Mask R-CNN,8,0.65,2391.33,2.06,2394.04,0.42,15,0.6805,0,12,0,0,22,0,start
Mask R-CNN,9,0.79,2415.45,2.6,2418.83,0.41,16,0.6599,0,14,0,0,24,0,start
Mask R-CNN,10,0.71,2385.96,2.47,2389.14,0.42,17,0.6363,0,14,0,0,25,0,start
Mask R-CNN,11,0.87,2418.67,2.18,2421.72,0.41,14,0.6535,0,12,0,0,26,0,start
Mask R-CNN,12,0.7,2353.64,2.24,2356.58,0.42,17,0.6255,0,13,0,0,26,0,start
Mask R-CNN,13,0.74,2355.69,2.14,2358.57,0.42,15,0.6939,0,13,0,0,27,0,start
Mask R-CNN,14,0.7,2351.64,2.99,2355.32,0.42,16,0.6835,0,13,0,0,28,0,start
Mask R-CNN,15,0.75,2445.42,2.56,2448.73,0.41,19,0.6839,0,14,0,0,28,0,start
Mask R-CNN,16,0.79,2350.09,2.75,2353.64,0.42,21,0.6953,0,18,0,0,29,0,start
Mask R-CNN,17,0.78,2380.5,2.51,2383.8,0.42,19,0.7204,0,19,0,0,30,0,start
Mask R-CNN,18,0.7,2373.54,2.59,2376.83,0.42,17,0.7072,0,16,0,0,30,0,start
Mask R-CNN,19,0.73,2372.6,2.64,2375.96,0.42,19,0.6746,0,15,0,0,31,0,start
Mask R-CNN,20,0.8,2337.66,3.16,2341.62,0.43,19,0.6676,0,16,0,0,31,0,start
Mask R-CNN,21,0.83,2311.03,2.3,2314.16,0.43,16,0.69,0,16,0,0,32,0,start
Mask R-CNN,22,0.69,2459.52,2.74,2462.95,0.41,18,0.6592,0,15,0,0,32,0,start
Mask R-CNN,23,0.73,2496.51,2.32,2499.56,0.4,15,0.695,0,14,0,0,32,0,start
Mask R-CNN,24,0.73,2385.89,2.67,2389.29,0.42,18,0.6737,0,14,0,0,33,0,start
Mask R-CNN,25,0.97,2406.34,2.96,2410.27,0.41,20,0.6408,0,17,0,0,33,0,start
Mask R-CNN,26,0.79,2445.01,2.81,2448.62,0.41,19,0.7281,0,16,0,0,33,0,start
Mask R-CNN,27,0.81,2495.92,2.73,2499.46,0.4,19,0.7021,0,16,0,0,34,0,start
Mask R-CNN,28,8.08,2398.14,3.31,2409.53,0.42,21,0.6766,0,16,0,0,34,0,start
Mask R-CNN,29,0.79,2437.95,2.97,2441.71,0.41,23,0.6559,0,20,0,0,35,0,start
Mask R-CNN,30,0.72,2439.71,3.01,2443.44,0.41,21,0.6485,0,17,0,0,36,0,start
Mask R-CNN,31,0.75,2464.43,2.86,2468.04,0.41,23,0.6243,0,17,0,0,37,0,start
Mask R-CNN,32,0.77,2357.05,3.21,2361.03,0.42,22,0.6215,0,18,0,0,37,0,start
Mask R-CNN,33,0.73,2370.1,2.96,2373.79,0.42,19,0.6431,0,19,0,0,38,0,start
Mask R-CNN,34,0.74,2396.92,2.65,2400.3,0.42,17,0.6616,0,16,0,0,38,0,start
Mask R-CNN,35,0.73,2392.37,3.12,2396.22,0.42,18,0.638,0,15,0,0,38,0,start
Mask R-CNN,36,0.82,2475.9,2.89,2479.61,0.4,18,0.6278,0,17,0,0,39,0,start
Mask R-CNN,37,0.87,2410.31,2.3,2413.48,0.41,17,0.6299,0,16,0,0,39,0,start
Mask R-CNN,38,0.73,2430.19,2.47,2433.4,0.41,16,0.6483,0,15,0,0,39,0,start
Mask R-CNN,39,0.74,2451.01,2.23,2453.98,0.41,16,0.6858,0,13,0,0,39,0,start
Mask R-CNN,40,0.8,2433.92,2.56,2437.28,0.41,19,0.6183,0,15,0,0,39,0,start
Mask R-CNN,41,0.73,2402.43,2.48,2405.64,0.42,18,0.6048,0,16,0,0,39,0,start
Mask R-CNN,42,0.76,2418.42,2.63,2421.81,0.41,20,0.5877,0,17,0,0,39,0,start
Mask R-CNN,43,0.81,2489.73,3.03,2493.57,0.4,26,0.6168,0,20,0,0,39,0,start
Mask R-CNN,44,0.72,2469.49,2.43,2472.64,0.4,18,0.6034,0,16,0,0,39,0,start
Mask R-CNN,45,0.75,2477.17,2.47,2480.39,0.4,18,0.6274,0,15,0,0,40,0,start
Mask R-CNN,46,0.7,2387.96,9.34,2398.01,0.42,18,0.7153,0,13,0,0,40,0,start
Mask R-CNN,47,0.73,2452.91,2.97,2456.6,0.41,18,0.7061,0,9,0,0,40,0,start
Mask R-CNN,48,0.72,2441.41,2.47,2444.61,0.41,13,0.6556,0,6,0,0,40,0,start
Mask R-CNN,49,0.83,2467.45,2.6,2470.89,0.4,15,0.7123,0,6,0,0,41,0,start
Mask R-CNN,50,0.85,2549.31,2.6,2552.75,0.39,15,0.689,0,7,0,0,41,0,start
Mask R-CNN,51,0.76,2398.4,2.7,2401.86,0.42,18,0.6553,0,9,0,0,43,0,start
Mask R-CNN,52,0.7,2492.51,2.99,2496.2,0.4,18,0.6513,0,12,0,0,44,0,start
Mask R-CNN,53,0.76,2410.41,3.32,2414.48,0.41,20,0.65,0,17,1,0,45,1,start
Mask R-CNN,54,0.72,2390.41,3.03,2394.16,0.42,18,0.6574,0,16,1,0,46,1,start
Mask R-CNN,55,0.7,2324.38,2.97,2328.06,0.43,19,0.6494,0,15,1,0,46,1,start
Mask R-CNN,56,0.74,2396.1,4.09,2400.94,0.42,22,0.6037,0,19,1,0,49,1,start
Mask R-CNN,57,0.72,2375.22,3.23,2379.18,0.42,20,0.6052,0,16,1,0,49,1,start
Mask R-CNN,58,0.7,2301.63,3.39,2305.72,0.43,19,0.6609,0,16,1,0,52,1,start
Mask R-CNN,59,0.73,2452.5,3.23,2456.46,0.41,21,0.6359,0,14,1,0,52,1,start
Mask R-CNN,60,0.7,2445.18,3.73,2449.61,0.41,25,0.6272,0,13,1,0,52,1,start
Mask R-CNN,61,0.69,2374.94,3.16,2378.79,0.42,17,0.6192,0,14,1,0,52,2,start
Mask R-CNN,62,0.74,2478.12,3.38,2482.24,0.4,21,0.6557,0,10,2,0,52,2,start
Mask R-CNN,63,0.78,2582.99,3.49,2587.26,0.39,20,0.6423,0,13,2,0,54,2,start
Mask R-CNN,64,0.74,2387.67,3.31,2391.73,0.42,21,0.6512,0,13,2,1,56,2,start
Mask R-CNN,65,1.07,2385.55,3.55,2390.17,0.42,22,0.6354,0,14,3,1,56,2,start
Mask R-CNN,66,0.71,2361.47,3.53,2365.71,0.42,22,0.6139,0,16,3,1,57,2,start
Mask R-CNN,67,0.71,2358.8,3.8,2363.31,0.42,20,0.6444,0,15,3,1,58,2,start
Mask R-CNN,68,0.69,2379.25,3.43,2383.37,0.42,20,0.6364,0,17,3,1,58,2,start
Mask R-CNN,69,3.07,2388.17,3.47,2394.71,0.42,22,0.6261,0,19,3,1,59,2,start
Mask R-CNN,70,0.74,2409.74,3.46,2413.94,0.41,21,0.624,0,20,3,1,59,2,start
Mask R-CNN,71,0.72,2402.92,3.54,2407.19,0.42,20,0.6391,0,18,3,1,59,2,start
Mask R-CNN,72,0.81,2388.17,3.5,2392.47,0.42,22,0.604,0,18,3,1,59,2,start
Mask R-CNN,73,0.71,2396.17,3.36,2400.23,0.42,19,0.6417,0,15,3,1,60,2,start
Mask R-CNN,74,0.74,2397.66,3.51,2401.91,0.42,17,0.6724,0,13,3,1,61,2,start
Mask R-CNN,75,0.77,2420.52,4.03,2425.31,0.41,20,0.5989,0,15,3,1,61,2,start
Mask R-CNN,76,0.73,2478.26,4.35,2483.34,0.4,20,0.6574,0,16,3,1,62,2,start
Mask R-CNN,77,1.03,2396.97,3.47,2401.48,0.42,21,0.6549,0,18,3,1,63,2,start
Mask R-CNN,78,0.7,2433.59,3.54,2437.83,0.41,20,0.6077,0,16,3,1,63,2,start
Mask R-CNN,79,0.74,2438.46,3.34,2442.54,0.41,19,0.6252,0,18,3,1,63,2,start
Mask R-CNN,80,0.72,2440.41,3.14,2444.27,0.41,21,0.5963,0,18,3,1,63,2,start
Mask R-CNN,81,0.73,2384.25,3.52,2388.49,0.42,19,0.6295,0,15,3,1,63,2,start
Mask R-CNN,82,0.69,2401.57,3.46,2405.72,0.42,19,0.6439,0,15,3,1,63,2,start
Mask R-CNN,83,0.81,2401.65,3.39,2405.85,0.42,20,0.6534,0,18,3,1,63,2,start
Mask R-CNN,84,0.73,2391.49,3.22,2395.44,0.42,19,0.6673,0,17,3,1,63,2,start
Mask R-CNN,85,0.71,2338.06,3.17,2341.94,0.43,17,0.6714,0,16,3,1,63,2,start
Mask R-CNN,86,0.71,2347.27,3.32,2351.3,0.43,17,0.6705,0,15,3,1,63,2,start
Mask R-CNN,87,0.8,2410.76,2.96,2414.52,0.41,18,0.6514,0,13,3,1,63,2,start
Mask R-CNN,88,0.75,2493.46,3.22,2497.43,0.4,17,0.6434,0,13,3,1,63,3,start
Mask R-CNN,89,1.06,2510.78,3.37,2515.21,0.4,19,0.6571,0,15,3,1,63,3,start
Mask R-CNN,90,0.73,2459.53,3.14,2463.4,0.41,18,0.6889,0,15,3,1,63,3,start
Mask R-CNN,91,0.91,2373.45,2.73,2377.09,0.42,19,0.6513,0,16,3,1,63,3,start
Mask R-CNN,92,0.72,2379.46,3.22,2383.41,0.42,21,0.6552,0,19,3,1,63,3,start
Mask R-CNN,93,0.73,2300.64,2.9,2304.27,0.43,23,0.6314,0,19,3,1,63,3,start
Mask R-CNN,94,0.7,2436.68,2.89,2440.27,0.41,22,0.6469,0,19,3,1,63,3,start
Mask R-CNN,95,0.73,2397.38,2.73,2400.84,0.42,21,0.6355,0,18,3,1,64,3,start
Mask R-CNN,96,0.76,2335.51,2.92,2339.19,0.43,22,0.6409,0,17,3,1,65,3,start
Mask R-CNN,97,0.7,2369.56,2.77,2373.03,0.42,21,0.6357,0,19,3,1,65,3,start
Mask R-CNN,98,0.79,2384.78,2.66,2388.23,0.42,23,0.6291,0,18,3,1,65,4,start
Mask R-CNN,99,0.8,2396.35,2.84,2399.99,0.42,21,0.6447,0,18,3,1,65,4,start
Mask R-CNN,100,0.78,2422.88,2.95,2426.61,0.41,23,0.6687,0,18,3,1,65,4,start
Mask R-CNN,101,0.73,2491.33,2.85,2494.9,0.4,21,0.7111,0,17,3,1,66,4,start
Mask R-CNN,102,0.75,2502.32,2.98,2506.05,0.4,23,0.6773,0,19,3,1,67,5,start
Mask R-CNN,103,0.73,2451.17,3.21,2455.1,0.41,23,0.6894,0,20,3,1,67,5,start
Mask R-CNN,104,0.72,2406.3,3.33,2410.35,0.41,25,0.6526,0,21,3,1,67,5,start
Mask R-CNN,105,0.73,2392.36,3.01,2396.1,0.42,20,0.6959,0,19,3,1,69,5,start
Mask R-CNN,106,0.72,2366.44,2.7,2369.87,0.42,18,0.6865,0,14,3,1,69,5,start
Mask R-CNN,107,0.7,2394.34,2.66,2397.7,0.42,19,0.66,0,15,3,1,69,5,start
Mask R-CNN,108,0.72,2419.28,2.54,2422.54,0.41,21,0.6758,0,14,3,1,69,5,start
Mask R-CNN,109,0.7,2371.59,3.0,2375.29,0.42,25,0.6443,0,20,4,1,71,6,start
Mask R-CNN,110,0.76,2390.26,2.96,2393.98,0.42,22,0.6459,0,19,4,1,71,6,start
Mask R-CNN,111,0.75,2320.1,2.63,2323.48,0.43,17,0.6774,0,16,4,1,71,6,start
Mask R-CNN,112,0.71,2399.64,2.75,2403.1,0.42,21,0.6382,0,14,4,1,71,6,start
Mask R-CNN,113,0.81,2363.16,2.67,2366.64,0.42,20,0.6688,0,17,4,1,72,6,start
Mask R-CNN,114,0.8,2341.16,2.68,2344.64,0.43,18,0.6491,0,17,4,1,72,6,start
Mask R-CNN,115,0.74,2332.64,2.79,2336.17,0.43,21,0.6342,0,15,4,1,72,6,start
Mask R-CNN,116,0.7,2376.64,2.79,2380.14,0.42,18,0.6475,0,14,4,1,72,6,start
Mask R-CNN,117,0.72,2452.26,2.85,2455.83,0.41,21,0.6346,0,16,4,1,72,6,start
Mask R-CNN,118,0.73,2466.92,2.53,2470.18,0.4,19,0.6623,0,17,4,1,72,6,start
Mask R-CNN,119,0.78,2414.39,2.37,2417.54,0.41,18,0.6647,0,15,4,1,72,6,start
Mask R-CNN,120,0.86,2374.19,2.63,2377.68,0.42,21,0.6338,0,16,4,1,72,6,start
Mask R-CNN,121,0.7,2404.03,2.65,2407.37,0.42,18,0.6844,0,13,4,1,72,6,start
Mask R-CNN,122,0.79,2406.66,2.64,2410.09,0.41,18,0.6892,0,15,4,1,72,6,start
Mask R-CNN,123,0.7,2404.65,2.47,2407.82,0.42,20,0.6576,0,16,4,1,72,6,start
Mask R-CNN,124,0.85,2418.12,2.68,2421.65,0.41,19,0.6792,0,17,4,1,72,6,start
Mask R-CNN,125,0.67,2414.08,2.58,2417.32,0.41,20,0.6865,0,18,4,1,73,6,start
Mask R-CNN,126,0.71,2350.45,2.84,2354.01,0.42,18,0.6456,0,17,4,1,73,6,start
Mask R-CNN,127,0.74,2394.54,2.76,2398.04,0.42,21,0.6218,0,17,4,1,73,6,start
Mask R-CNN,128,0.78,2386.94,2.78,2390.5,0.42,20,0.6156,0,19,4,1,73,6,start
Mask R-CNN,129,0.77,2369.47,2.47,2372.71,0.42,20,0.6367,0,17,4,1,74,6,start
Mask R-CNN,130,0.71,2272.13,2.79,2275.63,0.44,21,0.6708,0,19,4,1,74,6,start
Mask R-CNN,131,0.71,2449.96,3.27,2453.93,0.41,21,0.6461,0,17,4,1,74,6,start
Mask R-CNN,132,0.73,2448.34,2.85,2451.92,0.41,19,0.6468,0,18,4,1,74,6,start
Mask R-CNN,133,0.68,2291.16,2.67,2294.52,0.44,19,0.6751,0,15,4,1,74,6,start
Mask R-CNN,134,0.72,2457.4,2.61,2460.72,0.41,20,0.6586,0,18,4,1,75,6,start
Mask R-CNN,135,0.68,2432.23,2.85,2435.76,0.41,19,0.6647,0,17,4,1,75,6,start
Mask R-CNN,136,0.7,2344.32,2.67,2347.69,0.43,17,0.6859,0,15,4,1,76,6,start
Mask R-CNN,137,0.69,2392.4,2.6,2395.69,0.42,19,0.6584,0,14,4,1,76,6,start
Mask R-CNN,138,0.74,2472.98,2.59,2476.31,0.4,17,0.693,0,16,4,1,76,6,start
Mask R-CNN,139,0.72,2452.55,2.75,2456.02,0.41,20,0.6602,0,15,4,1,77,6,start
Mask R-CNN,140,0.7,2393.9,2.61,2397.21,0.42,18,0.6465,0,14,4,1,77,6,start
Mask R-CNN,141,0.73,2287.75,2.55,2291.02,0.44,17,0.7052,0,15,4,1,77,6,start
Mask R-CNN,142,0.74,2420.1,2.5,2423.35,0.41,17,0.7057,0,15,4,1,77,6,start
Mask R-CNN,143,0.71,2371.42,2.79,2374.91,0.42,19,0.6418,0,16,4,1,77,6,start
Mask R-CNN,144,0.7,2352.49,2.53,2355.71,0.42,17,0.6836,0,14,4,1,77,6,start
Mask R-CNN,145,0.76,2441.16,2.49,2444.41,0.41,17,0.675,0,17,4,1,77,6,start
Mask R-CNN,146,0.73,2406.26,2.76,2409.75,0.41,18,0.6487,0,15,4,1,77,6,start
Mask R-CNN,147,0.69,2369.64,2.35,2372.69,0.42,18,0.6748,0,17,4,1,77,6,start
Mask R-CNN,148,0.72,2417.22,2.47,2420.41,0.41,17,0.7073,0,17,4,1,78,6,start
Mask R-CNN,149,0.71,2377.04,2.37,2380.12,0.42,19,0.664,0,16,4,1,78,6,start
Mask R-CNN,150,0.73,2359.88,2.45,2363.07,0.42,17,0.6985,0,17,4,1,79,6,start
Mask R-CNN,151,0.75,2373.91,2.17,2376.83,0.42,15,0.7234,0,14,4,1,79,6,start
Mask R-CNN,152,0.72,2286.89,2.94,2290.55,0.44,16,0.7155,0,14,4,1,79,6,start
Mask R-CNN,153,1.56,2317.94,2.15,2321.64,0.43,16,0.6941,0,16,4,1,79,6,start
Mask R-CNN,154,0.74,2295.35,2.0,2298.09,0.44,14,0.7327,0,14,4,1,79,6,start
Mask R-CNN,155,0.66,2296.81,2.18,2299.66,0.43,16,0.6853,0,14,4,2,79,6,start
Mask R-CNN,156,0.68,2261.19,2.16,2264.03,0.44,16,0.6955,0,15,4,2,79,6,start
Mask R-CNN,157,0.73,2265.02,2.21,2267.95,0.44,16,0.6912,0,14,4,2,79,6,start
Mask R-CNN,158,0.7,2344.42,2.61,2347.73,0.43,17,0.7064,0,15,5,2,79,6,start
Mask R-CNN,159,0.76,2372.29,2.24,2375.28,0.42,16,0.7052,0,15,5,2,79,6,start
Mask R-CNN,160,0.7,2319.38,2.29,2322.38,0.43,15,0.7372,0,14,5,2,79,6,start
Mask R-CNN,161,0.79,2302.9,2.62,2306.32,0.43,18,0.702,0,15,5,2,79,6,start
Mask R-CNN,162,0.69,2280.01,2.19,2282.9,0.44,17,0.6918,0,16,5,2,79,6,start
Mask R-CNN,163,0.73,2345.97,2.18,2348.88,0.43,15,0.7535,0,15,5,2,79,6,start
Mask R-CNN,164,0.74,2391.15,2.27,2394.16,0.42,17,0.7073,0,14,5,2,79,6,start
Mask R-CNN,165,0.75,2371.59,2.32,2374.66,0.42,16,0.6898,0,14,5,2,79,6,start
Mask R-CNN,166,0.73,2293.98,2.31,2297.02,0.44,18,0.652,0,14,5,2,80,6,start
Mask R-CNN,167,0.69,2365.88,2.13,2368.7,0.42,16,0.6867,0,15,5,2,80,6,start
Mask R-CNN,168,0.68,2332.36,2.16,2335.19,0.43,17,0.714,0,14,5,2,80,6,start
Mask R-CNN,169,0.72,2321.44,2.54,2324.7,0.43,17,0.7045,0,14,5,2,81,6,start
Mask R-CNN,170,0.71,2245.32,2.13,2248.16,0.44,18,0.7077,0,15,5,2,81,6,start
Mask R-CNN,171,0.71,2182.23,2.31,2185.25,0.46,16,0.7052,0,16,5,2,81,6,start
Mask R-CNN,172,0.87,2281.43,1.98,2284.27,0.44,15,0.7488,0,15,5,2,81,6,start
Mask R-CNN,173,0.75,2280.66,2.23,2283.64,0.44,18,0.6916,0,14,5,2,81,6,start
Mask R-CNN,174,0.7,2281.79,2.33,2284.82,0.44,18,0.6781,0,15,5,2,82,7,start
Mask R-CNN,175,0.71,2198.74,2.31,2201.76,0.45,17,0.7176,0,16,5,2,83,7,start
Mask R-CNN,176,0.74,2223.69,2.18,2226.6,0.45,18,0.6982,0,14,5,2,83,7,start
Mask R-CNN,177,0.75,2203.07,2.21,2206.03,0.45,18,0.7073,0,17,5,2,84,7,start
Mask R-CNN,178,0.78,2198.98,1.98,2201.74,0.45,16,0.7259,0,16,5,2,84,7,start
Mask R-CNN,179,0.74,2219.89,2.04,2222.67,0.45,17,0.7117,0,15,5,2,84,7,start
Mask R-CNN,180,0.74,2209.74,1.96,2212.44,0.45,16,0.7243,0,15,5,2,84,7,start
Mask R-CNN,181,0.7,2206.89,2.09,2209.69,0.45,18,0.6975,0,16,5,2,84,7,start
Mask R-CNN,182,0.78,2217.04,2.29,2220.11,0.45,17,0.7121,0,17,5,2,84,7,start
Mask R-CNN,183,0.69,2183.8,2.05,2186.55,0.46,16,0.7256,0,15,5,2,84,7,start
Mask R-CNN,184,0.73,2189.23,2.5,2192.46,0.46,18,0.695,0,14,5,2,84,7,start
Mask R-CNN,185,0.67,2226.04,1.98,2228.7,0.45,16,0.7272,0,16,5,2,85,7,start
Mask R-CNN,186,0.7,2199.22,1.99,2201.91,0.45,18,0.6983,0,16,5,2,85,7,start
Mask R-CNN,187,0.67,2193.09,2.55,2196.31,0.46,19,0.6774,0,18,5,2,85,7,start
Mask R-CNN,188,0.73,2306.32,2.23,2309.28,0.43,18,0.6753,0,17,5,2,85,7,start
Mask R-CNN,189,0.76,2325.62,2.08,2328.45,0.43,17,0.686,0,16,5,2,85,7,start
Mask R-CNN,190,0.72,2337.75,2.39,2340.86,0.43,20,0.6481,0,17,5,2,85,7,start
Mask R-CNN,191,0.83,2265.14,2.05,2268.03,0.44,16,0.6971,0,16,5,2,85,7,start
Mask R-CNN,192,0.75,2253.75,2.1,2256.61,0.44,18,0.6455,0,15,5,2,85,7,start
Mask R-CNN,193,0.71,2241.97,1.99,2244.67,0.45,16,0.6858,0,15,5,2,85,7,start
Mask R-CNN,194,0.69,2260.12,2.12,2262.94,0.44,17,0.6641,0,15,5,2,85,7,start
Mask R-CNN,195,0.74,2231.87,1.98,2234.59,0.45,15,0.7011,0,14,5,2,86,7,start
Mask R-CNN,196,0.76,2223.68,2.08,2226.52,0.45,13,0.7574,0,13,5,2,86,7,start
Mask R-CNN,197,0.7,2240.77,1.84,2243.31,0.45,14,0.7196,0,13,5,2,86,7,start
Mask R-CNN,198,0.77,2209.11,2.02,2211.9,0.45,15,0.6966,0,13,5,2,86,7,start
Mask R-CNN,199,0.71,2252.38,1.78,2254.87,0.44,14,0.711,0,12,5,2,87,7,start
Mask R-CNN,200,0.79,2246.65,1.79,2249.23,0.44,15,0.7006,0,12,5,2,87,7,start
Mask R-CNN,201,0.86,2257.55,2.0,2260.42,0.44,15,0.7059,0,14,5,2,87,7,start
Mask R-CNN,202,0.76,2332.43,2.04,2335.23,0.43,15,0.6964,0,15,5,2,87,7,start
Mask R-CNN,203,0.72,2365.96,2.01,2368.68,0.42,16,0.6981,0,15,5,2,87,7,start
Mask R-CNN,204,0.69,2299.05,1.95,2301.69,0.43,14,0.7477,0,13,5,2,87,7,start
Mask R-CNN,205,0.73,2311.69,2.01,2314.44,0.43,15,0.7143,0,13,5,2,87,7,start
Mask R-CNN,206,0.79,2332.82,2.37,2335.99,0.43,17,0.6623,0,14,5,2,87,7,start
Mask R-CNN,207,0.72,2355.98,2.28,2358.98,0.42,18,0.6517,0,15,5,2,87,7,start
Mask R-CNN,208,0.73,2346.56,2.03,2349.32,0.43,17,0.7039,0,16,5,2,88,7,start
Mask R-CNN,209,0.73,2362.61,2.17,2365.51,0.42,17,0.715,0,17,5,2,89,7,start
Mask R-CNN,210,0.69,2412.56,2.16,2415.41,0.41,16,0.7165,0,14,5,2,89,7,start
Mask R-CNN,211,0.74,2332.05,2.4,2335.19,0.43,21,0.6621,0,14,5,2,89,7,start
Mask R-CNN,212,0.75,2194.42,2.17,2197.34,0.46,17,0.7086,0,17,5,2,91,7,start
Mask R-CNN,213,0.73,2201.38,2.06,2204.17,0.45,17,0.685,0,15,5,2,91,7,start
Mask R-CNN,214,0.77,2230.33,2.15,2233.25,0.45,18,0.6666,0,16,5,2,91,7,start
Mask R-CNN,215,0.69,2277.57,2.07,2280.33,0.44,13,0.76,0,13,5,2,91,7,start
Mask R-CNN,216,0.71,2283.48,2.25,2286.44,0.44,16,0.6821,0,13,5,2,91,7,start
Mask R-CNN,217,0.73,2383.43,2.16,2386.31,0.42,15,0.6991,0,14,5,2,91,7,start
Mask R-CNN,218,0.75,2271.94,2.34,2275.03,0.44,20,0.6501,0,14,5,2,91,7,start
Mask R-CNN,219,0.77,2274.29,2.6,2277.65,0.44,18,0.6816,0,16,5,2,91,7,start
Mask R-CNN,220,0.74,2242.25,2.13,2245.12,0.45,16,0.7413,0,15,5,2,92,7,start
Mask R-CNN,221,0.68,2246.34,2.38,2249.41,0.44,16,0.7536,0,14,5,2,92,7,start
Mask R-CNN,222,0.78,2324.27,2.24,2327.29,0.43,19,0.705,0,16,5,2,92,7,start
Mask R-CNN,223,0.73,2279.85,2.32,2282.91,0.44,21,0.7087,0,17,5,2,93,7,start
Mask R-CNN,224,0.71,2314.16,2.81,2317.67,0.43,23,0.6744,0,20,5,2,94,7,start
Mask R-CNN,225,0.74,2321.81,2.5,2325.04,0.43,21,0.6763,0,18,5,2,94,7,start
Mask R-CNN,226,0.7,2311.89,2.38,2314.96,0.43,21,0.7119,0,19,5,2,94,7,start
Mask R-CNN,227,0.69,2296.64,2.48,2299.81,0.43,18,0.7157,0,17,5,2,94,7,start
Mask R-CNN,228,0.68,2308.67,2.3,2311.65,0.43,20,0.6902,0,16,5,2,94,7,start
Mask R-CNN,229,0.68,2402.85,2.77,2406.3,0.42,21,0.6777,0,20,5,2,95,7,start
Mask R-CNN,230,0.73,2363.57,2.3,2366.6,0.42,19,0.7008,0,18,5,2,95,7,start
Mask R-CNN,231,0.75,2394.1,2.47,2397.32,0.42,19,0.6899,0,17,5,2,95,7,start
Mask R-CNN,232,0.75,2349.92,2.45,2353.12,0.42,18,0.723,0,16,5,3,95,7,start
Mask R-CNN,233,0.7,2317.27,2.51,2320.48,0.43,20,0.6922,0,17,5,3,95,7,start
Mask R-CNN,234,0.73,2297.43,2.36,2300.52,0.43,20,0.6812,0,19,5,3,95,7,start
Mask R-CNN,235,0.69,2308.43,2.54,2311.65,0.43,18,0.6989,0,18,5,3,95,7,start
Mask R-CNN,236,0.74,2261.39,2.05,2264.18,0.44,16,0.7436,0,15,5,3,95,7,start
Mask R-CNN,237,0.79,2319.67,2.34,2322.8,0.43,16,0.7538,0,13,5,3,96,7,start
Mask R-CNN,238,0.74,2310.91,2.29,2313.95,0.43,15,0.769,0,14,5,3,96,7,start
Mask R-CNN,239,0.72,2322.04,2.46,2325.22,0.43,15,0.7661,0,14,5,3,96,7,start
Mask R-CNN,240,0.68,2317.42,2.13,2320.23,0.43,18,0.6874,0,14,5,3,96,7,start
Mask R-CNN,241,0.67,2322.69,2.16,2325.52,0.43,14,0.7584,0,14,5,3,97,7,start
Mask R-CNN,242,0.71,2390.1,2.34,2393.14,0.42,17,0.7046,0,14,5,3,97,7,start
Mask R-CNN,243,0.7,2296.36,2.26,2299.32,0.43,18,0.6894,0,16,5,3,97,7,start
Mask R-CNN,244,0.68,2270.09,2.3,2273.07,0.44,18,0.678,0,17,5,3,97,7,start
Mask R-CNN,245,0.71,2330.91,2.61,2334.23,0.43,17,0.7042,0,15,5,3,97,7,start
Mask R-CNN,246,0.74,2298.19,2.02,2300.95,0.43,15,0.7391,0,15,6,3,97,7,start
Mask R-CNN,247,0.79,2246.02,2.15,2248.96,0.44,19,0.6672,0,15,6,3,97,7,start
Mask R-CNN,248,0.7,2233.26,2.89,2236.85,0.45,19,0.6683,0,18,6,3,97,7,start
Mask R-CNN,249,0.77,2280.98,2.3,2284.05,0.44,16,0.716,0,16,6,3,97,7,start
Mask R-CNN,250,0.7,2213.96,2.19,2216.84,0.45,17,0.6964,0,14,6,3,97,7,start
Mask R-CNN,251,0.69,2266.68,2.18,2269.54,0.44,18,0.6636,0,17,6,3,97,7,start
Mask R-CNN,252,0.75,2302.69,2.16,2305.6,0.43,17,0.6921,0,16,6,3,97,7,start
Mask R-CNN,253,0.72,2285.61,2.15,2288.48,0.44,18,0.6665,0,17,6,3,97,7,start
Mask R-CNN,254,0.69,2311.52,2.0,2314.21,0.43,16,0.7164,0,15,6,3,97,7,start
Mask R-CNN,255,0.66,2398.86,2.21,2401.74,0.42,16,0.7186,0,15,6,3,97,7,start
Mask R-CNN,256,0.77,2355.38,2.09,2358.24,0.42,16,0.7409,0,15,6,3,97,7,start
Mask R-CNN,257,0.8,2304.44,2.09,2307.33,0.43,15,0.7408,0,15,6,3,97,7,start
